rpm_band,windows,macro_f1,balanced_accuracy,accuracy,severity_mae
0-1200,65,0.4995925925925926,0.5142857142857142,0.5076923076923077,0.676923076923077
1200-1450,121,0.409162413187181,0.4608695652173913,0.47107438016528924,0.9338842975206612
1450-1700,120,0.46115830115830114,0.496,0.475,0.6416666666666667
1700-2000,112,0.33404761904761904,0.39309090909090905,0.4107142857142857,0.8125
