severity,precision,recall,f1,support
0,0.51875,1.0,0.6831275720164609,83
1,0.0,0.0,0.0,84
2,0.28,0.08433734939759036,0.12962962962962962,83
3,0.4883720930232558,0.25,0.33070866141732286,84
4,1.0,0.9761904761904762,0.9879518072289156,84
