sensors,n_features,macro_f1,balanced_accuracy,accuracy,severity_mae,multiclass_brier,log_loss,ece
1,18,0.47491728508423964,0.5096959265633965,0.5095693779904307,0.7009569377990431,0.8316823158852893,1.9850087665397675,0.3705185805993254
2,18,0.42431813922356093,0.45717154331612164,0.4569377990430622,0.8947368421052632,0.8167475995028556,2.0103221543751006,0.34987629823496025
3,18,0.4427483550589814,0.46933448078026385,0.4688995215311005,0.722488038277512,0.8573924385335144,1.9621516176313534,0.3672380671943356
1+2+3,44,0.4262835340584658,0.46210556511761325,0.46172248803827753,0.777511961722488,0.8603176205236486,2.0036903390002,0.39773799229924556
