model,representation,sensors,n_features,macro_f1,macro_f1_std,balanced_accuracy,accuracy
compact_extra_trees,compact,"1,2,3",44,0.9844770165356257,0.018422092392483352,0.9845288461538461,0.9845482555370326
compact_random_forest,compact,"1,2,3",44,0.9513957044345233,0.04427045323273888,0.9516538461538462,0.951706269349845
compact_logistic,compact,"1,2,3",44,0.8773682262311526,0.042455532939352975,0.8782019230769231,0.8782730114312931
order_mlp,order,"1,2,3",119,0.6071289142005212,0.10680318494273341,0.6083461538461539,0.6081954929745177
order_logistic,order,"1,2,3",119,0.5583892224211422,0.1099673692315519,0.561076923076923,0.5609264408192427
