ap,vc,f,TCond,predicted_Ra,predicted_F,mrr_proxy,pareto_efficient
0.8,390.0,0.13,0.0,0.8988316620832867,366.32181669999704,40.56,True
0.8,390.0,0.1,0.0,0.6385123249075,317.00301134999836,31.200000000000006,True
0.8,350.0,0.1,0.0,0.7335654999074996,313.8431543000019,28.000000000000007,True
0.5,390.0,0.13,0.0,0.7946785465118209,207.1833946499983,25.35,True
0.8,390.0,0.07,0.0,0.451626990600141,216.7722448999994,21.840000000000003,True
0.8,350.0,0.07,0.0,0.47046355306452803,214.41106790000043,19.6,True
0.5,390.0,0.1,0.0,0.574069398668923,173.12368064999913,19.5,True
0.5,350.0,0.09,0.0,0.6170654892496397,157.45226920000135,15.75,True
0.5,390.0,0.07,0.0,0.36072491507566534,141.88987929999868,13.650000000000002,True
0.25,390.0,0.13,0.0,1.0582271419783928,104.45253560000081,12.675,True
0.5,350.0,0.07,0.0,0.3894178530691528,136.83449132499868,12.250000000000002,True
0.25,350.0,0.13,0.0,1.1663198116606164,103.97285320000069,11.375,True
0.5,310.0,0.07,0.0,0.3811658697441444,141.31345629999944,10.850000000000001,True
0.25,390.0,0.1,0.0,0.745625481292781,86.84254587999972,9.75,True
0.25,350.0,0.11,0.0,0.6203040443640228,95.06451920999888,9.625,True
0.25,350.0,0.09,0.0,0.44484509514374554,85.61135582999917,7.875,True
0.25,390.0,0.07,0.0,0.3806044254403001,70.93759442000008,6.825000000000001,True
0.25,350.0,0.07,0.0,0.357207152256077,72.60926600750037,6.125000000000001,True
0.25,310.0,0.07,0.0,0.34197782990805403,72.92314596999972,5.425000000000001,True
0.8,350.0,0.13,0.0,1.0768771113525928,369.2609762999953,36.400000000000006,False
0.8,310.0,0.13,0.0,1.048214344552672,375.51770825000114,32.24,False
0.8,310.0,0.1,0.0,0.7699393396705143,326.5606763499971,24.800000000000004,False
0.5,350.0,0.13,0.0,1.0352871284234828,209.2906579499986,22.75,False
0.5,310.0,0.13,0.0,1.0470998891367909,209.38798995000158,20.150000000000002,False
0.5,350.0,0.11,0.0,0.8971904488243768,183.96096209999914,19.25,False
0.5,350.0,0.1,0.0,0.679124036235061,174.46427275000184,17.5,False
0.8,310.0,0.07,0.0,0.48505924986772575,216.1476345499986,17.360000000000003,False
0.5,310.0,0.1,0.0,0.7264843424001918,171.89094374999826,15.5,False
0.25,310.0,0.13,0.0,1.0698266249833512,105.21127140000101,10.075000000000001,False
0.25,350.0,0.1,0.0,0.7537891590705578,87.4031701150009,8.75,False
0.25,310.0,0.1,0.0,0.766518223100047,88.03194862999966,7.75,False
0.5,350.0,0.13,0.1,0.815805951804678,236.77958524999875,22.75,True
0.5,350.0,0.11,0.1,0.7368617037878786,209.92075059999846,19.25,True
0.5,350.0,0.09,0.1,0.6376715712481962,192.5340981000007,15.75,True
0.5,350.0,0.07,0.1,0.5615454941974696,161.7263854500004,12.250000000000002,True
0.25,350.0,0.11,0.1,0.5073991841269844,165.48060325000012,9.625,True
0.25,350.0,0.09,0.1,0.4701631084656097,124.56074734999902,7.875,True
0.25,350.0,0.07,0.1,0.5036044594155844,112.35348055000051,6.125000000000001,True
0.25,350.0,0.13,0.1,0.757251857948534,165.52691364999927,11.375,False
0.5,350.0,0.13,0.3,0.8594458605348352,369.5376047999986,22.75,True
0.5,350.0,0.11,0.3,0.7017370311688322,370.50788550000226,19.25,True
0.5,350.0,0.09,0.3,0.5438366741943236,349.7184921999976,15.75,True
0.5,350.0,0.07,0.3,0.5075536243561994,336.08226980000126,12.250000000000002,True
0.25,350.0,0.13,0.3,0.8308381718374227,242.92757835000202,11.375,True
0.25,350.0,0.11,0.3,0.578851694047619,236.53244890000173,9.625,True
0.25,350.0,0.09,0.3,0.5304998827080334,230.22123404999815,7.875,True
0.25,350.0,0.07,0.3,0.5425304427970181,238.54611075000116,6.125000000000001,False
