task,model,features,mae,rmse,r2
force_setpoint,extra_trees,"ap,vc,f,TCond",6.378237291290423,9.514113963948471,0.9894173232165854
force_setpoint,random_forest,"ap,vc,f,TCond",13.943689363262477,18.802387214705124,0.9586681525247088
force_setpoint,ridge,"ap,vc,f,TCond",21.890444423350175,28.099362929817065,0.907689355983968
roughness_force_assisted,random_forest,"ap,vc,f,TCond,Fx,Fy,Fz,F",0.14881464538817205,0.20587126773771966,0.5288207763233463
roughness_force_assisted,extra_trees,"ap,vc,f,TCond,Fx,Fy,Fz,F",0.15436280726735144,0.20972044436686413,0.5110367794689776
roughness_force_assisted,ridge,"ap,vc,f,TCond,Fx,Fy,Fz,F",0.16125641591034173,0.21470203324888032,0.48753174381673814
roughness_setpoint,random_forest,"ap,vc,f,TCond",0.16141061910870552,0.2181251442945006,0.4710603570502786
roughness_setpoint,ridge,"ap,vc,f,TCond",0.16155076865078125,0.21534639802654357,0.48445108349305344
roughness_setpoint,extra_trees,"ap,vc,f,TCond",0.17007314542483715,0.22616870896208544,0.4313308188378462
