model,mae,rmse,r2,bias,within_10c,within_20c
extra_trees,6.724482987881366,8.604655993946324,0.17803808755262962,3.0205165540208734,0.7749453750910416,0.9785142024763293
random_forest,6.774964464601391,8.676400623560184,0.16427409717860564,3.248521147822616,0.7676620538965768,0.9788783685360525
ridge,7.58475200630092,9.46004144612153,0.006493420560026553,4.484054273167382,0.7075746540422433,0.9708667152221413
