target_index,target,mae,rmse,r2,normalized_mae,persistence_mae,setpoint_mae,coverage,half_width,normalized_half_width
0,Stage2.Output.Measurement0.U.Actual,1.0940271989473025,2.274453744897272,-0.04406112813031626,4.756639995423045,0.6273841740391369,1.1960558505318608,0.9693928750627195,2.056730680558198,8.942307306774758
1,Stage2.Output.Measurement1.U.Actual,0.5312355664502214,0.7051900002260341,-1.0138227291357556,1.5740313080006543,0.23403020491821372,5.134231761564979,0.4164576016056197,0.40759722222222106,1.207695473251024
2,Stage2.Output.Measurement2.U.Actual,0.24849006835185825,0.37228813852660314,-0.3316422006450601,0.8874645298280672,0.1439442165880582,0.24000271541896634,0.9473156046161565,0.5526769620811294,1.9738462931468952
3,Stage2.Output.Measurement3.U.Actual,0.83380237446854,0.8822649585945535,-12.52509239798081,5.21126484042837,0.16183679760160566,1.1712037007325644,0.48670346211741095,0.8088155814373188,5.055097383983238
4,Stage2.Output.Measurement4.U.Actual,1.9499695124638787,7.629895229605509,-0.045908067865673585,0.18750022023405857,2.1576216758655296,29.90520822880081,0.68941294530858,0.33883981481481484,0.032581299089937586
5,Stage2.Output.Measurement5.U.Actual,0.1898297556150067,0.20240795251174287,-6.823552148425048,2.1092195068334005,0.061547489976919195,0.27138882400301056,0.8921224284997491,0.28077481078629507,3.1197201198477127
6,Stage2.Output.Measurement6.U.Actual,0.23530072875549735,0.2588659203484489,-3.2273758102017807,1.3072262708638738,0.09687746999698946,0.34638906113999,0.41846462619167085,0.21782631639788363,1.2101462022104643
7,Stage2.Output.Measurement7.U.Actual,0.04362480510790402,0.10617307206441418,-0.07579681041419994,1.0906201276975995,0.04266303416457598,0.23818257404816864,0.9603612644254892,0.09596288483644244,2.399072120911059
8,Stage2.Output.Measurement8.U.Actual,0.9718254741575956,1.7707026864027335,-0.2896523935775981,1.682814673865975,0.603096408158555,0.4425451659257399,0.9613647767185148,1.8005781779865089,3.117884290885746
9,Stage2.Output.Measurement9.U.Actual,13.731476096010757,14.774290868754868,-4.81885203512681,98.08197211436216,2.2304101547857504,13.974944164196689,0.9613647767185148,16.346681668461635,116.76201191758263
10,Stage2.Output.Measurement10.U.Actual,0.10040714267688167,0.12247462857257084,-3.0408008474140784,1.1156349186320202,0.06326325232814853,0.10162106728148497,0.5835423983943804,0.10660247230655084,1.1844719145172335
11,Stage2.Output.Measurement11.U.Actual,0.07858894727334591,0.09252532469393078,-2.215482037092125,0.3416910751015033,0.051207267774209725,0.10103610162167623,0.5494229804315103,0.0795802157334009,0.34600093797130765
12,Stage2.Output.Measurement12.U.Actual,0.050019803122712696,0.06001338673753197,-1.393679901295394,1.0003960624542574,0.0349491924415454,0.16858298907375802,0.6964375313597592,0.06411269841269984,1.2822539682540015
13,Stage2.Output.Measurement13.U.Actual,0.1713896593778555,0.18636489873086645,-5.0666163569479075,1.9043295486428418,0.05209988738785748,0.8863434331249371,0.9031610637230306,0.2667037039317459,2.963374488130515
14,Stage2.Output.Measurement14.U.Actual,0.5066577158048936,0.8738832519176135,-0.2883847539255562,1.333309778433931,0.32023864087104864,3.8720206695293538,0.8414450577019569,0.752237169312175,1.9795714981899348
