horizon_seconds,model,features,fit_rows,selection_rows,normalized_mae,mean_mae,mean_rmse,mean_r2,persistence_normalized_mae,setpoint_normalized_mae
5,extra_trees,100,7625,1873,5.048355491245386,1.1637025530789202,1.4816953425094985,-117.02638516227312,1.0363533939835827,4.037269450922958
15,extra_trees,100,7620,1871,5.11366949936997,1.2181702127439713,1.5381267108601882,-129.58239202689688,1.0404949483246317,4.052009768589271
30,extra_trees,100,7611,1869,5.394719126138686,1.212006194178866,1.5696432913070297,-136.4446579931287,1.0721524637101496,4.0551515137347165
60,extra_trees,100,7595,1864,5.8748473480990056,1.390794958113185,1.6653942902216248,-141.83249773738768,1.1435788389691157,4.190810475729512
60,ridge,100,7595,1864,10.100320811361893,2.7759980181753052,3.272159609185339,-696.2495361187397,1.1435788389691157,4.190810475729512
30,ridge,100,7611,1869,11.135049615471342,2.640166809119,3.1154800950149086,-1388.8176661900209,1.0721524637101496,4.0551515137347165
5,ridge,100,7625,1873,11.564300265634326,2.5441791941369343,3.0897691771894973,-3274.6068937894556,1.0363533939835827,4.037269450922958
15,ridge,100,7620,1871,11.826647292710255,2.6109337132270904,3.0965364257095414,-2550.962966056958,1.0404949483246317,4.052009768589271
