target_index,coverage,half_width,normalized_half_width
0,0.9693928750627195,2.056730680558198,8.942307306774758
1,0.4164576016056197,0.40759722222222106,1.207695473251024
2,0.9473156046161565,0.5526769620811294,1.9738462931468952
3,0.48670346211741095,0.8088155814373188,5.055097383983238
4,0.68941294530858,0.33883981481481484,0.032581299089937586
5,0.8921224284997491,0.28077481078629507,3.1197201198477127
6,0.41846462619167085,0.21782631639788363,1.2101462022104643
7,0.9603612644254892,0.09596288483644244,2.399072120911059
8,0.9613647767185148,1.8005781779865089,3.117884290885746
9,0.9613647767185148,16.346681668461635,116.76201191758263
10,0.5835423983943804,0.10660247230655084,1.1844719145172335
11,0.5494229804315103,0.0795802157334009,0.34600093797130765
12,0.6964375313597592,0.06411269841269984,1.2822539682540015
13,0.9031610637230306,0.2667037039317459,2.963374488130515
14,0.8414450577019569,0.752237169312175,1.9795714981899348
