model,panel_size,fit_rows,selection_rows,average_precision,brier,roc_auc
extra_trees,80,106773,28224,0.16843533207467348,0.040458118911649216,0.713346707093119
extra_trees,317,106773,28224,0.13085192982755298,0.0382404955050336,0.6866689105860938
extra_trees,120,106773,28224,0.13075583324455542,0.04241802322243027,0.6908288948607064
extra_trees,40,106773,28224,0.1273000181222718,0.041473908551567046,0.702312358969664
logistic,40,106773,28224,0.11147010562197811,0.31218452046221284,0.6904333098170577
logistic,120,106773,28224,0.10253328503249327,0.3595955372987228,0.6812986369535832
logistic,80,106773,28224,0.09878040356146378,0.3207292923444118,0.6960917027040127
logistic,317,106773,28224,0.05669378110832097,0.3504422016228524,0.6496930318223677
