scenario,n_training_seeds,ppo_wtt_training_seed_mean,ppo_wtt_training_seed_median,ppo_wtt_training_seed_std,ppo_wtt_training_seed_min,ppo_wtt_training_seed_max,ppo_decision_time_ms_training_seed_mean
nominal,5,70.78469730029728,71.72201508743224,7.3307361300110685,63.23025789246131,78.20496590695647,0.2696347538999807
demand_120,5,211.7529363931527,204.0516937768757,22.07037457234622,192.0210681690772,237.91717183557512,0.269417369533456
demand_140,5,383.09564172438127,356.3025715569468,46.58319662427152,345.8389238604516,439.38814613806886,0.2641349299002059
demand_160,5,547.4742313656003,492.2761896467689,77.88829195357725,489.9622002307216,640.5832451511213,0.2663233150998697
breakdown_2x,5,105.39401574965385,103.48913255729934,10.06893217549085,95.84055440744795,116.81238541163422,0.2640220925991571
breakdown_4x,5,166.9651726183294,166.78741605753746,14.707610264443025,152.2761466528194,184.0281977196513,0.2614220496676125
tight_due_085,5,106.43170668450514,105.8965672069526,7.43726966013307,98.90907369050262,114.81985291135514,0.2611725906329639
slow_machines_090,5,172.41790542031683,169.46127591857194,19.741440086600655,153.47739044793306,194.12561030768285,0.2639675045674191
setup_2x,5,195.63193274120516,191.3736939702399,10.32187086203859,186.4068351113516,207.66203445367003,0.2626446232003521
compound_stress,5,820.9690184221163,762.4950827728555,86.02586807205489,757.3019620302501,934.042766075934,0.2639074319336638
